Validprtprimcattyp|Validprtsubcattyp|Prtid|Locid|Prtlglnm|Prtlocnm|Validloctyp|Phyaddrstr1txt|Phyaddrstr2txt|Phyaddrctynm|PhyAddrStCd|Phyaddrpostcd|Geolattude|Geolngtude|Phone|Fax|Web|Email|Lastupdtdt
ED|SCORE|107101|282700|SCORE Charleston SC|Coastal SCORE|HO|4045 Bridge View Drive, B151||North Charleston|SC|29405|||(843) 727-4778||http://coastal.score.org/chapters/coastal-score|info@score285.org|06/03/2016
ED|SCORE|107288|282887|Corpus Christi SCORE|Corpus Christi SCORE|HO|2820 South Padre Island, Suite 108| |Corpus Christi|TX|78415|||(361) 879-0017 ext 22||http://corpuschristi.score.org/chapters/corpus-christi-score|score221@sbcglobal.net|12/28/2015
ED|SCORE|107098|282697|Cleveland SCORE|Cleveland SCORE|HO|1350 Euclid Ave, #216||Cleveland|OH|44115|||(216) 522-4194||http://cleveland.score.org/chapters/cleveland-score|score@scorecleveland.org|07/13/2012
ED|SCORE|107099|282698|Clinton, Franklin, Essex|Clinton, Franklin, Essex|HO|7061 Route 9||Plattsburgh|NY|12901-|||(518) 563-1000||northcountrychamber.com/adirondacks/score.html|info@scoreplattsburgh.org|07/17/2012
ED|SCORE|107102|282701|Colorado Springs SCORE|Colorado Springs SCORE|HO|559 E. Pikes Peak, Suite 101||Colorado Springs|CO|80903|||(719) 636-3074||www.coloradospringsscore.org|score.cos@comcast.net|12/28/2015
ED|SCORE|107286|282885|East Central Iowa SCORE|Cedar Rapids SCORE|HO|Corporate Center East|2750 1st Avenue NE, Suite 350|Cedar Rapids|IA|52402-4831|||(319) 362-6405 ext 2005||http://eastcentraliowa.score.org/chapters/score-east-central-iowa|mentor@scorecr.org|10/02/2014
ED|SCORE|107075|282674|Canton Regional SCORE|Canton SCORE|HO|6000 Frank  Ave., NW Stark Campus|Kent State University Center|Canton|OH|44720|||(330) 244-3280 ext.3294||http://cantonregional.score.org/chapters/canton-regional-score|cantonscore@gmail.com|01/14/2016
ED|SCORE|107381|282980|Cape Cod SCORE|Cape Cod SCORE|HO|270 Communications Way|Independence Park, Suite 5A|Hyannis|MA|02601|||(508) 775-4884||http://capecod.score.org/chapters/cape-cod-score|capecodscore@verizon.net|07/21/2012
ED|SCORE|107084|282683|Central Nebraska SCORE|Central Nebraska SCORE|HO|16 West 11th Street||Kearney|NE|68848|||(308) 865-5675||http://centralnebraska.score.org/chapters/central-nebraska-score|rhobbs@scorecentralnebraska.org|07/17/2012
ED|SCORE|246678|455810|Central Oregon SCORE|Cental Oregon SCORE #0701|HO|P.O. Box 6416| |Bend|OR|97708|||(541) 316-0662||||06/01/2016
ED|SCORE|107307|282906|Central PA SCORE|Central PA SCORE|HO|2820 East College Avenue, Suite E||State College|PA|16801-|||(814) 234-9415||http://centralpa.score.org/chapters/central-pa-score|scorecpa@scorecpa.org|01/14/2016
ED|SCORE|107358|282957|Chattanooga SCORE|Chattanooga SCORE|HO|Franklin Building|5726 Marlin Road, Suite 515|Chattanooga|TN|37411|||(423)553-1722||http://chattanooga.score.org/chapters/chattanooga-score|score.cha.tn@comcast.net|07/12/2012
ED|SCORE|107096|282695|Chicago SCORE|Chicago SCORE|HO|Citicorp|500 W. Madison Street, #1150|Chicago|IL|60661|||(312) 353-7724||http://chicago.score.org/chapters/chicago-score|info@scorechicago.org|07/22/2012
ED|SCORE|107104|282703|Columbus SCORE|Columbus SCORE|HO|1415 17th Street||Columbus|NE|68601|||(402) 562-1242||http://columbusne.score.org/chapters/columbus-score-0162|admin@columbusscore.org|12/28/2015
ED|SCORE|107103|282702|Columbus SCORE|Columbus SCORE|HO|401 North Front Street|Suite 200|Columbus|OH|43215|||(614) 469-2357||http://columbusoh.score.org/chapters/columbus-score|info@scorecolumbus.org|07/13/2012
ED|SCORE|107088|282687|Champlain Valley SCORE|Champlain Valley SCORE|HO|11 Lincoln Street Room 209||Essex Junction|VT|05452|||(802) 951-6762||http://champlainvalley.score.org/chapters/champlain-valley-score|champlain.valley@scorevolunteer.org|06/01/2016
ED|SCORE|107424|283023|Chapel Hill SCORE 0495|Chapel Hill SCORE|HO|321 West Rosemary Street||Chapel Hill|NC|27516|||(919) 968-6894||http://chapelhill.score.org/chapters/chapel-hill-score|info@scorechapelhill.org|10/06/2014
ED|SCORE|107090|282689|Charleston SCORE|Charleston SCORE|HO|1116 Smith Street 3rd Floor| |Charleston|WV|25301|||(304) 347-5463||www.wvscore.org|score256@wvscore.org|07/04/2012
ED|SCORE|107090|282689|Charleston SCORE|Charleston SCORE|HO|1116 Smith Street 3rd Floor| |Charleston|WV|25301|||(304) 347-5463||http://charleston.score.org/chapters/charleston-score|score256@wvscore.org|07/04/2012
ED|SCORE|107081|282680|Central Valley SCORE|Fresno SCORE at the  SBA District Office|HO|801 R Street|Suite 201|Fresno|CA|93721|||(559) 487-5605||http://centralvalley.score.org/|Peterfong@netzero.com|07/26/2012
ED|SCORE|107081|480555|Central Valley SCORE|Chamber of Commerce|BO|1725 Eye Street||Bakersville|CA|93301|||661-327-4421||||07/26/2012
ED|SCORE|107081|480556|Central Valley SCORE|Department of Workforce Investment|BO|1880 Wardrobe Avenue||Merced|CA|95340|||||||07/26/2012
ED|SCORE|107081|480558|Central Valley SCORE|Chamber of Commerce|BO|1114 "J" Street||Modesto|CA|95353|||209-577-5757||||07/26/2012
ED|SCORE|107081|480559|Central Valley SCORE|Chamber of Commerce|BO|30 Ragsdale Drive|Suite 200|Monterey|CA|93940|||831-648-5360||||07/26/2012
ED|SCORE|107081|480560|Central Valley SCORE|San Luis Obispo SCORE|BO|711 Tankfram Road, Suite 210||San Luis Obispo|CA|93401|||805-547-0779||||07/26/2012
ED|SCORE|107081|480561|Central Valley SCORE|City Hall|BO|1710 Tucker Street||Selma|CA|93622|||559-891-2200 x 3106||||07/26/2012
ED|SCORE|107081|480562|Central Valley SCORE|Tuolumne County Chamber of Commerce|BO|222 S. Shepherd Street||Sonora|CA|95370|||209-532-4316||||07/26/2012
ED|SCORE|107283|282882|Central Utah SCORE|Central Valley SCORE|HO|Utah Valley University SBDC| 815 West 1250 North #115|Orem|UT|84058|||(801) 373-8660||http://centralutah.score.org/chapters/central-utah-score|scoreutah@hotmail.com|06/01/2016
ED|SCORE|107094|282693|Central Virginia SCORE|Central Virginia SCORE|HO|209 5th St NE||Charlottesville|VA|22902|||(434)295-6712||http://centralvirginia.score.org/chapters/central-virginia-score|chairperson@score-494.org|01/11/2016
ED|SCORE|107095|282694|Central Washington SCORE|Central Washington SCORE|HO|5 S. Wenatchee Ave. Suite 330||Wenatchee|WA|98801-|||(509) 888-2900||http://centralwashington.score.org/chapters/central-washington-score|score@wenatchee.org|06/01/2016
ED|SCORE|107086|282685|Central Wisconsin SCORE|Central Wisconsin SCORE|HO|700 S. Central Avenue Chamber of Commerce| |Marshfield|WI|54449-|||715-384-3454||http://centralwisconsin.score.org/chapters/central-wisconsin-score|cwscore@centralwisconsinscore.org|07/10/2012
ED|SCORE|107089|282688|Charlotte  SCORE 0047|Charlotte  SCORE|HO|6302 Fairview Road, Suite 300| |Charlotte|NC|28210-2226|||(704) 344-6576||http://charlotte.score.org/chapters/charlotte-score|charlottescore47@carolina.rr.com|07/17/2012
ED|SCORE|107091|282690|Port Charlotte|Charlotte County SCORE|HO|1777 Tamiami Trail|Suite 411|Port Charlotte|FL|33948|||(941) 743-6179||http://portcharlotte.score.org/|score0318@aol.com|06/03/2016
ED|SCORE|107421|283020|Central Florida SCORE|Central Florida SCORE|HO|100 S. Kentucky Ave. #230| |Lakeland|FL|33801|||(863) 284-5607||http://centralflorida.score.org/|score122@verizon.net|12/28/2015
ED|SCORE|107082|282681|Central Illinois SCORE|Central Illinois SCORE|HO|P.O. Box 5696| |Bloomington|IL|61702-5696|||(309) 664-0549||http://centralillinois.score.org/chapters/central-illinois-score|webmaster@central-illinois-score.org|07/22/2012
ED|SCORE|107080|282679|Central Minnesota SCORE|Central Minnesota SCORE|HO|355 Fifth Avenue South||St. Cloud|MN|56301|||(320) 240-1332||http://centralminnesota.score.org/chapters/central-minnesota-score|chapter@stcloudscore.org|01/11/2016
ED|SCORE|107093|282692|Chester and Delaware County SCORE|Chester County SCORE|HO|601 Westtown Road #281||West Chester|PA|19380-0990|||(610) 344-6910||www.chestercounty.score.org|contact.0544@scorevolunteer.org|06/01/2016
ED|SCORE|107097|282696|Citrus County SCORE|Citrus County SCORE|HO|3810 S. Lecanto Highway||Lecanto|FL|34461||| (352)249-1236||http://citruscounty.score.org/|citruschapter@live.com|07/22/2012
ED|SCORE|107285|282884|Central Jersey SCORE|Central Jersey SCORE|HO|P.O. Box 3300 |C/o Raritan Valley Community College|Somerville|NJ|08876|||. (908) 526-1200 ext 8235||http://centraljersey.score.org/chapters/central-jersey-score|score@raritanval.edu|06/01/2016
ED|SCORE|156734|323664|Cheyenne SCORE|Cheyenne SCORE|HO|330 East Pershing| |Cheyenne|WY|82001-|||(307) 632-1588||http://cheyenne.score.org/chapters/cheyenne-score|cheyenne@scorewyoming.org|06/01/2016
ED|SCORE|107087|282686|ECI SCORE|Champaign SCORE|HO|303 W. Kirby Avenue||Champaign|IL|61820-|||(217) 359-1791||http://eci.score.org/chapters/eci-score|score@champaigncounty.org|07/22/2012
ED|SCORE|107125|282724|Fargo SCORE|Fargo SCORE|HO|657 Second Ave North | Room 360|Fargo|ND|58108-|||(701) 239-5677||http://fargo.score.org/chapters/fargo-score|info@fargoscore.org|06/02/2016
ED|SCORE|107124|282723|Fairfield County SCORE|Fairfield Cty SCORE|HO|111 East Ave||Norwalk|CT|06851|||(203) 847-7348||http://fairfieldcounty.score.org/|score41@gmail.com|06/02/2016
ED|SCORE|107108|282707|Dayton SCORE|Dayton SCORE|HO|200 West Second Street Suite 104||Dayton|OH|45402-1430|||(937) 225-2887||http://dayton.score.org/chapters/dayton-score-0|score@daytonscore.org|07/13/2012
ED|SCORE|107107|282706|Dallas SCORE|Dallas SCORE|HO|15110 Dallas Parkway|Suite 320|Dallas|TX|75248|||(214) 987-9491||http://dallas.score.org/chapters/dallas-score|score22@flash.net|12/07/2015
ED|SCORE|107294|282893|El  Paso SCORE|El  Paso SCORE|HO|10 Civic Center Plaza| Greater El Paso C of C|El Paso|TX|79901|||(915) 538-2489||http://elpaso.score.org/chapters/el-paso-score|score@elpasoscore.org|06/02/2016
ED|SCORE|107361|282960|East Bay SCORE|East Bay SCORE|HO|492 - 9th Street, Suite 350 ||Oakland|CA|94607|||(510) 273-6611||http://www.eastbayscore.org/|info@eastbayscore.org|07/20/2012
ED|SCORE|107123|282722|Northwest Pennsylvania SCORE|Erie SCORE|HO|120 West 9th Street| |Erie|PA|16501|||(814) 871-5650||http://erie.score.org/chapters/erie-score|score193@juno.com|10/06/2014
ED|SCORE|107109|282708|Decatur SCORE|Decatur SCORE|HO|Milliken University|1184 W. Main Street|Decatur|IL|62522|||(217) 424-6297||http://decatur.score.org/chapters/decatur-score|pamangel@mail.millikin.edu|07/22/2012
ED|SCORE|107110|282709|SCORE Denver|Denver SCORE|HO|US Custom's House,SBA|721 19th Street, Ste. 426|Denver|CO|80202-2517|||(303) 844-3985||www.scoredenver.org|score62@scoredenver.org|07/21/2012
ED|SCORE|107417|283016|Downeast Maine SCORE|Maine Coastal SCORE|HO|PO Box 1507| |Ellsworth|ME|04605|||(207) 667-5800||www.scoremaine.org|score@prexar.com|12/30/2015
ED|SCORE|107119|282718|Western Wisconsin SCORE|Eau Claire SCORE|HO|500 South Barstow Street Federal Building,|Room B11|Eau Claire|WI|54701|||(715) 834-1573||http://westernwisconsin.score.org/chapters/western-wisconsin-score|score@score-eauclaire.org|12/28/2015
ED|SCORE|107114|282713|Dutchess SCORE|Dutchess SCORE|HO| 1 Civic Center Plaza Chamber of Commerce|Rm. 400|Poughkeepsie|NY|12601|||(845) 454-1700 ext1021||http://dutchess.score.org/chapters/dutchess-score|scoredcny@hotmail.com|06/01/2016
ED|SCORE|107116|282715|East Texas SCORE|East Texas SCORE|HO|1530 S SW Loop 323|TJC West Campus Suite 101|Tyler|TX|75701|||(903) 510-2975||http://easttexas.score.org/chapters/east-texas-score|easttexscore@yahoo.com|06/02/2016
ED|SCORE|107289|282888|Evansville SCORE|Evansville SCORE|HO|318 Main Street Suite 223||Evansville|IN|47708|||(812) 426-6144||http://evansville.score.org/chapters/evansville-score|scoreevv@aol.com|07/22/2012
ED|SCORE|107118|282717|Eastern Idaho SCORE|Eastern Idaho SCORE|HO|2300 N. Yellowstone Hwy|Suite 100B|Idaho Falls|ID|83401|||(208) 523-1022|||score295@iictr.com|06/02/2016
ED|SCORE|107267|282866|Delaware SCORE|Delaware SCORE|HO|The Nemours Building|1007  N. Orange Street, Suite 1120|Wilmington|DE|19801|||(302) 573-6552||www.scoredelaware.org|info@scoredelaware.org|12/07/2015
ED|SCORE|107106|282705|Miami Dade SCORE|Dade SCORE|HO|1951 NW 7 Avenue, Suite 300||Miami|FL|33136|||(786) 425-9119||http://miamidade.score.org/|admin@scoremiami.org|12/07/2015
ED|SCORE|107111|282710|Des Moines SCORE|Des Moines SCORE|HO|6600 University Avenue, Rm 157|DSM Score RE/MAX Complex|Des Moines|IA|50324|||(515) 274-8593||http://desmoines.score.org/|desmoinesscore@gmail.com|12/07/2015
ED|SCORE|107120|282719|Elkhart SCORE|Elkhart SCORE|HO|418 S. Main Street| |Elkhart|IN|46516|||(574) 293-1531||http://elkhart.score.org/chapters/elkhart-score|score@elkhart.org|01/14/2016
ED|SCORE|107112|282711|Detroit SCORE|Detroit SCORE|HO|477 Michigan Avenue|Room 515|Detroit|MI|48226|||(313) 226-7947||http://detroit.score.org/chapters/detroit-score|detscore@sbcglobal.net|07/17/2012
ED|SCORE|107137|282736|Grand Rapids SCORE|Grand Rapids SCORE|HO|111 Pearl Street NW| |Grand Rapids|MI|49503|||(616) 771-0305||http://grandrapids.score.org/chapters/grand-rapids-score|score@grandrapids.org|07/17/2012
ED|SCORE|107136|282735|Grand Strand SCORE|Grand Strand SCORE|HO|605 10th Avenue North| |Myrtle Beach|SC|29577|||(843) 918-1079||http://grandstrand.score.org/chapters/grand-strand-score-aka-mbscore|info@mbscore.org|07/12/2012
ED|SCORE|107141|282740|Greater Knoxville SCORE|Greater Knoxville SCORE|HO|412 North Cedar Bluff Road|Suite 450|Knoxville|TN|37923|||(865) 692-0716||http://greaterknoxville.score.org/chapters/greater-knoxville-score|scoremail@scoreknox.org|07/12/2012
ED|SCORE|107142|282741|Greater Lynchburg SCORE|Greater Lynchburg SCORE|HO|147 Mill Ridge Road, Suite 122|Business Development Centre|Lynchburg|VA|24502|||(434) 582-4560||http://greaterlynchburg.score.org/chapters/greater-lynchburg-score|Lynchburgscore@verizon.net|01/11/2016
ED|SCORE|107357|282956|Hampton Roads SCORE|Hampton Roads SCORE|HO|838 Granby Street Retail Alliance||Norfolk|VA|23510|||(757) 455-9338||http://hamptonroads.score.org/chapters/hampton-roads-score|admin@scorehr.org|07/12/2012
ED|SCORE|107131|282730|Helena/Butte/White Sulphur Springs SCORE|Helena SCORE|HO|225 Cruse Ave., Suite D||Helena|MT|59601|||(406) 442-4986||http://helena.score.org/chapters/helena-score|helenascore@yahoo.com|06/02/2016
ED|SCORE|107293|282892|North Central Florida SCORE|Gainesville SCORE|HO|101 SE 2nd Place|Suite #104|Gainesville|FL|32601|||(352) 375-8278||http://gainesville.score.org/|chapter408@scoregainesville.org|10/02/2014
ED|SCORE|107299|282898|Green Bay SCORE|Green Bay SCORE|HO|2701 Larsen road| Room 105|Green Bay|WI|54303|||(920) 222-2167||http://greenbay.score.org/chapters/green-bay-score|greenbaySCORE@gmail.com|06/02/2016
ED|SCORE|107128|282727|Broward SCORE|Ft. Lauderdale SCORE|HO|299 East Broward Blvd.|Fed. Bldg., Suite 123|Ft. Lauderdale|FL|33301|||(954) 356-7263||www.score17.org|mail@browardscore.org|07/21/2012
ED|SCORE|107127|282726|Vancouver SCORE|Vancouver SCORE|HO|4001 Main Street, Suites 120 and 121| |Vancouver|WA|98663|||503-897-0275||http://ftvancouver.score.org/chapters/ft-vancouver-score|info@scorevancouver.org|06/03/2016
ED|SCORE|107129|282728|Greater Hartford SCORE|Greater Hartford SCORE|HO|280 Trumbull Street| |Hartford|CT|06103|||(860) 240-4700||http://greaterhartford.score.org/|ContactUs@hartfordscore.org|06/02/2016
ED|SCORE|107130|282729|Greater Wabash Valley SCORE|Greater Wabash Valley SCORE|HO|8000 South Education Drive||Terre Haute|IN|47802|||(812) 298-2452||http://greaterwabashvalley.score.org/chapters/grtr-wabash-valley-score|scorechapter661@aol.com|06/02/2016
ED|SCORE|107365|282964|Hagerstown SCORE|Hagerstown SCORE|HO|14 North Potomac Street Suite 200 B| |Hagerstown|MD|21740|||(301)766-2043||http://hagerstown.score.org/chapters/hagerstown-score|info@scorehagerstown.org|07/21/2012
ED|SCORE|107426|283025|Frederick County SCORE|Frederick County SCORE|HO|4539 Metropolitan Court| |Frederick|MD|21704|||(240)215-4757||http://frederick.score.org/chapters/score-frederick|score@scorefrederick.org|07/21/2012
ED|SCORE|107353|282952|Greensboro SCORE 0246|Greensboro SCORE|HO|1451 S. Elm-Eugene Street Suite 2306||Greensboro|NC|27406|||(336) 333-5399||http://greensboro.score.org/chapters/greensboro-score|greensboroscore@scoregso.org|07/17/2012
ED|SCORE|107133|282732|Bakersfield SCORE|Bakersfield SCORE|HO|P.O. Box 2426||Bakersfield|CA|93303|||(661) 861-9249||www.scorebakersfield.org|scorebakersfield@yahoo.com|01/14/2016
ED|SCORE|107427|283026|Greater Baltimore SCORE|Greater Baltimore SCORE|HO|9250 Bendix Road SCORE||Columbia|MD|21045|||(410) 962-2233||http://greaterbaltimore.score.org/chapters/greater-baltimore-score|baltimorescore@verizon.net|06/02/2016
ED|SCORE|107139|282738|Greater Bridgeport SCORE|Greater Bridgeport SCORE|HO|Houston Community College|Beacon Hall Room 337 900|Bridgeport|CT|06604-||| (203) 450-9484||http://greaterbridgeport.score.org/|score471@bridgeport.edu|06/02/2016
ED|SCORE|107140|282739|Greater Chico Area SCORE|Greater Chico Area SCORE|HO|1324 Mangrove Ave.|Suite 114|Chico|CA|95926|||(530) 342-8932||http://greaterchicoarea.score.org/|scorechico@sbcglobal.net|01/14/2016
ED|SCORE|107346|282945|Greater Cincinnati SCORE|Greater Cincinnati SCORE|HO|525 Vine Street Suite 1030||Cincinnati|OH|45202|||(513) 684-2812||http://greatercincinnati.score.org/chapters/greater-cincinnati-score|score@scoreworks.org|07/13/2012
ED|SCORE|107351|282950|Fort Wayne SCORE|Fort Wayne SCORE|HO|110 W. Berry Street Suite LL101| |Fort Wayne|IN|46802|||(260) 422-2601||http://fortwayne.score.org/chapters/fort-wayne-score|scorefw50@frontier.com|07/22/2012
ED|SCORE|107352|282951|Fort Worth SCORE|Fort Worth SCORE|HO|1150 S. Freeway, Suite 108|James Guinn School Complex|Ft. Worth|TX|76104-5064|||(817) 871-6002||http://fortworth.score.org/chapters/fort-worth-score|scorefw@gmail.com|07/12/2012
ED|SCORE|107126|282725|Fox Cities SCORE|Fox Cities SCORE|HO|125 N. Superior Street||Appleton|WI|54911|||(920) 734-7101||http://foxcities.score.org/chapters/fox-cities-score|score@foxcitiesbusiness.com|01/11/2016
ED|SCORE|107315|282914|Fox Valley SCORE|Fox Valley SCORE|HO|1444 N. Farnsworth Avenue| |Aurora|IL|60505-|||(630)375-6026||http://foxvalley.score.org/chapters/fox-valley-score|info289@scorefoxvalley.org|07/22/2012
ED|SCORE|107162|282761|Lincoln SCORE|Lincoln SCORE|HO|285 S. 68th St. Place| Suite 208|Lincoln|NE|68510|||(402) 437-2409||http://lincoln.score.org/chapters/lincoln-score|nescore39@aol.com|06/02/2016
ED|SCORE|107367|282966|Rio Grande Valley SCORE|Rio Grande Valley SCORE|HO|2422 E. Tyler Ave., Suite E||Harlingen|TX|78550|||(956) 427-8623|||chs1956@aol.com|12/28/2015
ED|SCORE|107340|282939|Lancaster-Sumter SCORE|Lancaster SCORE|HO|313 West Liberty Street| Suite 231|Lancaster|PA|17603-|||(717) 397-3092||www.scorelancaster.org|scorelancaster@verizon.net|06/02/2016
ED|SCORE|107273|282872|Acadiana SCORE|Acadiana SCORE|HO|537 Cajundome Blvd|C/O Opportunity Machine|Lafayette|LA|70506|||(337) 200-0431||http://acadiana.score.org/chapters/acadiana-score|cajun_score@yahoo.com|05/31/2016
ED|SCORE|107354|282953|Lehigh Valley SCORE|Lehigh Valley SCORE|HO|4525 Education Park Drive|Lehigh Carbon Comm Coll, ARC 100|Schnecksville|PA|18078|||(610)266-3000||www.lehighvalley.score.org|admin@lvscore.org|12/28/2015
ED|SCORE|107156|282755|SCORE Kalamazoo/Southwest Michigan |Kalamazoo SCORE|HO|420 E. Alcott St.||Kalamazoo|MI|49001|||(269) 381-5382||http://kalamazoo.score.org/chapters/kalamazoo-score|info@scorekazoo.org|06/03/2016
ED|SCORE|246679|455811|Ludington & Scottville Area SCORE #702|Ludington & Scottville Area Chapter #702|HO|5300 W. US Highway 10| |Ludington|MI|49431||| (231)845-0324||http://ludington.score.org/chapters/ludington-scottville-area|sarak@ludington.org|07/17/2012
ED|SCORE|107298|282897|Louisville SCORE|Louisville SCORE|HO|600 Dr Martin Luther King Jr. PL|Fed Office Bldg RM 188|Louisville|KY|40202|||(502) 582-5976||http://louisville.score.org/chapters/louisville-score|score75@score-louisville.org|06/02/2016
ED|SCORE|107401|283000|Little Rock SCORE|Little Rock SCORE|HO|2120 Riverfront Drive Suite 250||Little Rock|AR|72202|||501-324-7379 Ext 302||http://littlerock.score.org/|littlerockscore@sbcglobal.net|07/10/2012
ED|SCORE|107397|282996|Lake Ozark SCORE 560|Lake Ozark SCORE|HO|739 West US Highway 54| |Camdenton|MO|65020|||(573)346-5441||http://lakeoftheozarks.score.org/chapters/lake-ozarks|office@lakeozarkscore.org|01/27/2017
ED|SCORE|247991|461513|Lake Regions 0172|Lake Regions 0172|HO|383 South Main Street||Laconia|NH|03246|||603-524-0137||http://lakesregion.score.org/chapters/score-lakes-region|info@scorelakesregion.org|12/28/2015
ED|SCORE|107160|282759|Lexington SCORE|Lexington SCORE|HO|389 Waller Avenue, Suite 130| |Lexington|KY|40504-2910|||(859) 231-9902||http://lexington.score.org/chapters/lexington-score|info@score-lexington.org|07/21/2012
ED|SCORE|107157|282756|Kansas City SCORE|Kansas City SCORE|HO|Business Resource Center|4747 Troost Ave.., Suite 128|Kansas City|MO|64110|||(816) 235-6675||http://kansascity.score.org/chapters/kansas-city-score|Chapter19@scorekc.org|07/17/2012
ED|SCORE|107164|282763|Los Angeles SCORE|Los Angeles SCORE|HO|330 North Brand Boulevard|Suite 190|Glendale|CA|91203-2304|||(818) 552-3206||www.scorela.org|09@scorela.org|07/20/2012
ED|SCORE|107161|282760|East Central Ohio SCORE|Licking County SCORE|HO|25 Walnut St| PO Box 692|Newark|OH|43058|||(740) 345-7458||http://eastcentralohio.score.org/chapters/east-central-ohio-score|score@eastcentralohioscore.org|06/02/2016
ED|SCORE|107376|282975|Las Cruces SCORE|Las Cruces SCORE|HO|505 S. Main St.|Suite 125|Las Cruces|NM|88001|||(575) 523-5627||http://lascruces.score.org/chapters/las-cruces-score|score.397@lascrucesscore.org|06/02/2016
ED|SCORE|107149|282748|Huntington SCORE|Huntington SCORE|HO|1650 8th Avenue Unlimited Futures, Inc.||Huntington|WV|25703-|||(304) 523-4092||http://huntington.score.org/chapters/huntington-score|score488@unlimitedfuture.org|01/11/2016
ED|SCORE|107150|282749|Hutchinson SCORE|Hutchison SCORE|HO|Quest Center @1 East 9th Avenue| |Hutchinson|KS|67501|||(620) 665-8468||http://hutchinson.score.org/chapters/hutchinson-score|score@hutchquest.com|06/02/2016
ED|SCORE|107147|282746|Houston SCORE|Houston SCORE|HO|8701 S. Gessner drive, #1200| |Houston|TX|77074|||(713) 487-6565||http://houston.score.org/chapters/houston-score|score37@scorehouston.org|12/07/2015
ED|SCORE|107146|282745|Tampa SCORE|Hillsborough SCORE|HO|2101 E. Palm Ave,  Suite A||Tampa|FL|33605|||(813) 448-2311||http://hillsborough.score.org/|counselor@tampascore.org|06/03/2016
